 batch: 1563/1563 | epoch: 0 | Loss: 4.257878822923393 | Accuracy: 4.988(2494/50000)(2492/49984)))[4.988] [4.257878822923393]
 batch: 1563/1563 | epoch: 1 | Loss: 3.8841698454956326 | Accuracy: 9.388(4694/50000)4692/49984))[4.988, 9.388] [4.257878822923393, 3.8841698454956326]
 batch: 1563/1563 | epoch: 2 | Loss: 3.6216119020624338 | Accuracy: 13.758(6879/50000)(6877/49984)[4.988, 9.388, 13.758] [4.257878822923393, 3.8841698454956326, 3.6216119020624338]
 batch: 1563/1563 | epoch: 3 | Loss: 3.320235490188794 | Accuracy: 18.698(9349/50000)(9345/49984))[4.988, 9.388, 13.758, 18.698] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794]
 batch: 1563/1563 | epoch: 4 | Loss: 3.0797980702693692 | Accuracy: 23.122(11561/50000)1553/49984))[4.988, 9.388, 13.758, 18.698, 23.122] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692]
 batch: 1563/1563 | epoch: 5 | Loss: 2.860238192558899 | Accuracy: 27.488(13744/50000)13738/49984))[4.988, 9.388, 13.758, 18.698, 23.122, 27.488] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692, 2.860238192558899]
 batch: 1563/1563 | epoch: 6 | Loss: 2.6637738536583333 | Accuracy: 31.448(15724/50000)5715/49984))[4.988, 9.388, 13.758, 18.698, 23.122, 27.488, 31.448] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692, 2.860238192558899, 2.6637738536583333]
 batch: 1563/1563 | epoch: 7 | Loss: 2.521787874147973 | Accuracy: 34.512(17256/50000)7249/49984)))[4.988, 9.388, 13.758, 18.698, 23.122, 27.488, 31.448, 34.512] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692, 2.860238192558899, 2.6637738536583333, 2.521787874147973]
 batch: 1563/1563 | epoch: 8 | Loss: 2.404466160428272 | Accuracy: 37.092(18546/50000)8540/49984)))[4.988, 9.388, 13.758, 18.698, 23.122, 27.488, 31.448, 34.512, 37.092] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692, 2.860238192558899, 2.6637738536583333, 2.521787874147973, 2.404466160428272]
 batch: 1563/1563 | epoch: 9 | Loss: 2.2735630032807226 | Accuracy: 39.786(19893/50000)9891/49984))[4.988, 9.388, 13.758, 18.698, 23.122, 27.488, 31.448, 34.512, 37.092, 39.786] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692, 2.860238192558899, 2.6637738536583333, 2.521787874147973, 2.404466160428272, 2.2735630032807226]
 batch: 1563/1563 | epoch: 10 | Loss: 2.1918001767541075 | Accuracy: 41.9(20950/50000)(20942/49984))[4.988, 9.388, 13.758, 18.698, 23.122, 27.488, 31.448, 34.512, 37.092, 39.786, 41.9] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692, 2.860238192558899, 2.6637738536583333, 2.521787874147973, 2.404466160428272, 2.2735630032807226, 2.1918001767541075]
 batch: 1563/1563 | epoch: 11 | Loss: 2.1101177224575975 | Accuracy: 43.592(21796/50000)1790/49984))[4.988, 9.388, 13.758, 18.698, 23.122, 27.488, 31.448, 34.512, 37.092, 39.786, 41.9, 43.592] [4.257878822923393, 3.8841698454956326, 3.6216119020624338, 3.320235490188794, 3.0797980702693692, 2.860238192558899, 2.6637738536583333, 2.521787874147973, 2.404466160428272, 2.2735630032807226, 2.1918001767541075, 2.1101177224575975]
